ligne;colonne;vvaleurr
8;7;"3,50046385504494"
8;8;"3,43810123337316"
8;9;"3,38813023473973"
8;10;"3,34716312023398"
8;20;"3,15032377350285"
8;30;"3,0794064719705"
8;40;"3,04277782113251"
8;50;"3,02039779496913"
8;60;"3,00530258373726"
8;80;"2,98622981534677"
8;100;"2,9746744870641"
8;200;"2,95130426421284"
8;500;"2,93711094876935"
8;1000;"2,9323505582722"
9;1;"5,11735502919923"
9;2;"4,25649472909375"
9;3;"3,86254835762476"
9;4;"3,63308851141908"
9;5;"3,48165865390152"
9;6;"3,37375364703921"
9;7;"3,29274583891712"
9;8;"3,22958261268677"
9;9;"3,17889310445827"
9;10;"3,1372801078887"
9;20;"2,93645539216144"
9;30;"2,8636523437717"
9;40;"2,82593265367081"
9;50;"2,80284251718999"
9;60;"2,78724855729167"
9;80;"2,76752174114094"
9;100;"2,75555668125151"
9;200;"2,73132526544572"
9;500;"2,71658676845485"
9;1000;"2,71163963712886"
10;1;"4,96460274373071"
10;2;"4,1028210151304"
10;3;"3,70826481904684"
10;4;"3,47804969076523"
10;5;"3,32583453041301"
10;6;"3,21717454739899"
10;7;"3,13546480462633"
10;8;"3,07165838527904"
10;9;"3,02038294702137"
10;10;"2,97823701608232"
10;20;"2,77401639832112"
10;30;"2,69955123302637"
10;40;"2,66085520720411"
10;50;"2,63712399507392"
10;60;"2,62107715569361"
10;80;"2,60075319408721"
10;100;"2,58841217971997"
10;200;"2,56338588999904"
10;500;"2,54814092804226"
10;1000;"2,54301973583244"
20;1;"4,35124350332929"
20;2;"3,49282847673563"
20;3;"3,09839121214078"
20;4;"2,86608140201566"
20;5;"2,7108898372096"
20;6;"2,598977711564"
20;7;"2,5140110629988"
20;8;"2,4470637479798"
20;9;"2,3928141084422"
20;10;"2,3478775669983"
20;20;"2,1241552129197"
20;30;"2,0390859041820"
20;40;"1,9938190986725"
20;50;"1,9656279395052"
20;60;"1,946357923812"
20;80;"1,9216887076380"
20;100;"1,9065544200411"
20;200;"1,875469126493"
20;500;"1,8562499887457"
20;1000;"1,84974167061709"
30;1;"4,17087678576669"
30;2;"3,31582950101352"
30;3;"2,92227719064504"
30;4;"2,68962757369142"
30;5;"2,53355454755927"
30;6;"2,42052318855757"
30;7;"2,33434396484478"
30;8;"2,26616327413814"
30;9;"2,21069698330358"
30;10;"2,16457991712547"
30;20;"1,93165347523693"
30;30;"1,84087168911176"
30;40;"1,79179011863201"
30;50;"1,76087918294803"
30;60;"1,73957361831196"
30;80;"1,71206173998635"
30;100;"1,69503715647243"
30;200;"1,65966977450114"
30;500;"1,63749661004157"
30;1000;"1,62992823842385"
40;1;"4,08474573330166"
40;2;"3,23172699283085"
40;3;"2,83874539802064"
40;4;"2,60597494912387"
40;5;"2,44946642638871"
40;6;"2,33585240479166"
40;7;"2,24902432514739"
40;8;"2,18017045320064"
40;9;"2,1240292640167"
40;10;"2,07724804641721"
40;20;"1,83885934902422"
40;30;"1,74443196432074"
40;40;"1,69279720970243"
40;50;"1,66000314557256"
40;60;"1,63725182397156"
40;80;"1,60766570637095"
40;100;"1,58922420309151"
40;200;"1,55052728054831"
40;500;"1,52595228236757"
40;1000;"1,51749950715607"
50;1;"4,03430970680301"
50;2;"3,18260985204277"
50;3;"2,7900084064022"
50;4;"2,55717914997636"
50;5;"2,40040912709929"
50;6;"2,28643590417802"
50;7;"2,19920208712115"
50;8;"2,12992275917973"
50;9;"2,07335116347462"
50;10;"2,02614296117111"
50;20;"1,78412481840492"
50;30;"1,68715693087833"
50;40;"1,63368179182278"
50;50;"1,59949546683544"
50;60;"1,57565389970155"
50;80;"1,54446924903976"
50;100;"1,52491118420315"
50;200;"1,4835054244667"
50;500;"1,45689555250982"
50;1000;"1,44767499096928"
60;1;"4,00119137675498"
60;2;"3,15041131058273"
60;3;"2,75807829584258"
60;4;"2,52521510198288"
60;5;"2,36827023570107"
60;6;"2,25405300985703"
60;7;"2,16654115604942"
60;8;"2,09696831251595"
60;9;"2,04009805547647"
60;10;"1,99259199662942"
60;20;"1,74798413312286"
60;30;"1,64914100902141"
60;40;"1,59427252011401"
60;50;"1,55901108603424"
60;60;"1,53431417981236"
60;80;"1,50185274420929"
60;100;"1,48138592312158"
60;200;"1,43771254763294"
60;500;"1,40933495571924"
60;1000;"1,39943176261986"
70;1;"3,97777939281018"
70;2;"3,12767560095914"
70;3;"2,73554145091295"
70;4;"2,50265646339994"
70;5;"2,34558632661923"
70;6;"2,23119241978411"
70;7;"2,14347804070534"
70;8;"2,07369040090899"
70;9;"2,01660069002104"
70;10;"1,96887494798896"
70;20;"1,72232522492379"
70;30;"1,62203974949481"
70;40;"1,5660781495985"
70;50;"1,5299597972138"
70;60;"1,50457222155767"
70;80;"1,4710641723349"
70;100;"1,44984032248777"
70;200;"1,40423005189251"
70;500;"1,37429023473718"
70;1000;"1,36377029142775"
80;1;"3,96035242061496"
80;2;"3,11076616608046"
